lect_name,pre_lect_name,pre_penalty_score
마케팅관리,,
마케팅전략,,
경영전략,,
데이터과학과소셜데이터분석,,
빅데이터와인공지능을활용한시스템강건설계,,
창의적발상,,
IoT프로젝트,,
인문사회과학기반뇌인지공학융합기술,,
머신러닝과딥러닝,,
인공지능응용,,
글로벌테크노경영,,
Computer Aided Engineering,,
최적설계,,
스마트카융합종합설계,,
학제간융합제품설계,,
창의적공학설계,,
공학수치해석,미분적분학1,-10.0
공학수치해석,미분적분학2,-10.0
기술경영개론,,
다학제융합종합설계,,
공학기초수학1,미분적분학1,-10.0
공학기초수학1,미분적분학1,-10.0
공학기초수학2,공학기초수학1,-30.0
공학기초수학2,선형대수학,-10.0
인공지능과디지털수학,선형대수학,-10.0
글로벌캡스톤디자인,,
공학연구프로젝트Ⅰ,,
공학연구프로젝트Ⅱ,,
공학연구프로젝트Ⅲ,,
공학연구프로젝트Ⅳ,,
지식재산창업전략,,
산학융합캡스톤디자인,,
특허아이디어검색과활용,,
기술사업화캡스톤디자인,,
공학과인공지능,,
기업가정신과창업전략,,
경영과학(OR)및실습1,,
경제성공학,,
과학적작업관리및실습,,
기술관리,,
기술혁신,,
응용통계및연습1,미분적분학1,-30.0
응용통계및연습1,미분적분학2,-30.0
인간공학및실습,실험계획법,-20.0
인간공학및실습,응용통계및연습1,-30.0
제조전략이해,,
품질경영공학,,
확률통계개론,,
실험적자료분석,응용통계및연습1,-15.0
객체지향프로그래밍이론및실습,공학컴퓨터프로그래밍,-20.0
경영과학(OR)및실습2,응용통계및연습1,-30.0
경영과학(OR)및실습2,응용통계및연습2,-10.0
경영혁신론,,
기술전략,,
데이타베이스및실습,,
생산관리,,
생산정보시스템,,
시뮬레이션및실습,응용통계및연습1,-30.0
응용통계및연습2,응용통계및연습1,-10.0
전략적의사결정,,
제조시스템공학,,
지식공학,경영정보시스템및실습,-30.0
확률적시스템분석,,
HCI,,
시스템경영공학현장실습3,,
시스템경영공학현장실습3A,,
시스템경영공학현장실습3B,,
시스템경영공학종합설계,,
공급사슬관리,,
경영예측기법,,
신인성경영공학,,
CAD/제품정보관리및실습,,
계량경영분석,,
서비스공학,,
데이터마이닝,선형대수학,-10.0
데이터마이닝,응용통계및연습2,-5.0
경영정보시스템및실습,,
비즈니스창의성,,
실험계획법,응용통계및연습1,-20.0
실험계획법,응용통계및연습2,-20.0
시스템경영공학현장실습2,,
시스템경영공학현장실습2A,,
시스템경영공학현장실습2B,,
시스템경영공학현장실습5,,
제품개발,,
차세대컴퓨터인터페이스설계,,
품질경영,,
시스템경영공학현장실습4,,
시스템경영공학현장실습4A,,
시스템경영공학현장실습4B,,
시스템경영공학창업현장실습1,,
시스템경영공학창업현장실습2,,
데이터과학을위한프로그래밍,공학컴퓨터프로그래밍,-20.0
인지공학개론,,
인공지능개론및실습,,
AI포사이트,,
유니버설디자인의이해,,
시스템경영공학실습2A,,
시스템경영공학실습2B,,
시스템경영공학실습3A,,
시스템경영공학실습3B,,
시스템경영공학실습4A,,
시스템경영공학실습4B,,
시스템경영공학실습5A,,
시스템경영공학실습5B,,
혁신전략과경영,,
글로벌경영전략,,
과학기술정책분석론,,
확률모형론,,
통계자료분석,,
정보통신네트웍,,
웹정보시스템,,
인간정보처리론,,
실험적자료분석론,,
이산최적화,,
MetaHeuristic,,
네트웍이론및응용,,
지능정보시스템,,
확률과정론,,
사용편의성공학,,
감성정보처리,,
금융공학,,
경영위험관리,,
비즈니스정보시스템분석및설계,,
분산분석·회귀분석,,
SCM특론,,
물류관리시스템,,
스마트공장개론,,
산학연계융복합연구Ⅰ,,
제조빅데이터관리,,
데모공장IIoT시스템및실습,,
스마트공장ICT생산시스템및실습,,
스마트생산관리,,
스마트품질관리,,
스마트생산및물류정보시스템,,
스마트공장운영최적화,,
스마트공장모델링및시뮬레이션,,
스마트공장인턴십1,,
스마트공장인턴십2,,
데이터분석과기계학습,,
확률및랜덤프로세스,확률및통계,-10.0
스마트카공학개론,,
Algorithm and Problem Solving,,
Introduction to Machine Learning,,
Strategic and Entrepreneurial Management,,
스마트팩토리캡스톤디자인1,,
스마트팩토리캡스톤디자인2,,
스마트팩토리융합캡스톤디자인1,,
스마트팩토리융합캡스톤디자인2,,
자료구조개론,프로그래밍기초와실습,-20.0
인공지능개론,,
